Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,21 / SR,5.33,17/04/2023 05:20:11,17/04/2023 05:29:23,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,1.00,17/04/2023 05:32:43,17/04/2023 05:33:53,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.67,17/04/2023 05:37:04,17/04/2023 05:37:54,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.33,17/04/2023 05:40:14,17/04/2023 05:40:44,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,6.33,17/04/2023 05:42:45,17/04/2023 05:49:16,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,0.67,17/04/2023 05:51:16,17/04/2023 05:52:06,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.67,17/04/2023 05:54:07,17/04/2023 05:54:57,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 05:56:57,17/04/2023 05:57:37,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 05:59:38,17/04/2023 06:00:17,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.67,17/04/2023 06:02:17,17/04/2023 06:04:08,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.67,17/04/2023 06:06:08,17/04/2023 06:06:48,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,4.17,17/04/2023 06:08:58,17/04/2023 06:13:19,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:15:19,17/04/2023 06:16:00,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:18:00,17/04/2023 06:18:40,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,4.00,17/04/2023 06:20:40,17/04/2023 06:24:51,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:26:51,17/04/2023 06:27:21,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.83,17/04/2023 06:29:31,17/04/2023 06:30:32,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:32:32,17/04/2023 06:33:02,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.00,17/04/2023 06:35:12,17/04/2023 06:36:22,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:38:33,17/04/2023 06:39:13,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.33,17/04/2023 06:41:13,17/04/2023 06:42:43,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,3.50,17/04/2023 06:44:43,17/04/2023 06:48:14,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 06:50:34,17/04/2023 06:51:14,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.50,17/04/2023 06:53:35,17/04/2023 06:55:05,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,5.83,17/04/2023 06:57:35,17/04/2023 07:03:26,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,1.17,17/04/2023 07:05:56,17/04/2023 07:07:17,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.17,17/04/2023 07:10:17,17/04/2023 07:11:27,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.17,17/04/2023 07:13:38,17/04/2023 07:14:58,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.33,17/04/2023 07:17:08,17/04/2023 07:17:38,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.33,17/04/2023 07:19:48,17/04/2023 07:20:18,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 07:22:29,17/04/2023 07:22:59,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 07:25:09,17/04/2023 07:25:39,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.50,17/04/2023 07:27:45,17/04/2023 07:28:25,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,0.33,17/04/2023 07:30:35,17/04/2023 07:31:05,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,1.83,17/04/2023 07:33:05,17/04/2023 07:34:56,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,2.67,17/04/2023 07:37:06,17/04/2023 07:41:04,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,10.83,17/04/2023 07:43:45,17/04/2023 07:54:46,reason not entered,null,null,null
17/04/2023,Mornings,21 / SR,0.33,17/04/2023 07:57:37,17/04/2023 07:58:07,Spool Change,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,21 / SR,6.50,17/04/2023 08:00:57,17/04/2023 08:07:37,reason not entered,null,null,null
