13/05/2021,Mornings,New Selva,479.00,13/05/2021 05:20:01,13/05/2021 13:19:03,no plan,no plan,no plan,no plan
14/06/2021,Afters,New Selva,478.00,14/06/2021 13:20:02,14/06/2021 21:19:03,no plan,no plan,no plan,no plan
