Operator_name
"102 / IP"
"104 / NW"
"105 / DF"
"106 / DS"
"108 / DM"
"110 / JH"
"112 / KE"
"113 / RM"
"114 / SH"
"117 / DC"
"119 / DH"
"1 / WB"
"3 / DF"
"4 / DF"
"7 / DB"
"8 / DR"
"11 / WG"
"14 / JH"
"16 / DPF"
"21 / SR"
"22 / HM"
"23 / DP"
"24 / JH"
"2 / HM"
"3 / MF"
"4 / JH"
"6 / DPF"
"116 / SM"
"OT 102 / IP"
"OT 104 / NW"
"OT 105 / DF"
"OT 106 / DS"
"OT 108 / DM"
"OT 110 / JH"
"OT 112 / KE"
"OT 113 / RM"
"OT 114 / SH"
"OT 117 / DC"
"OT 119 / DH"
"OT 1 / WB"
"OT 3 / DF"
"OT 4 / DF"
"OT 7 / DB"
"OT 8 / DR"
"OT 11 / WG"
"OT 14 / JH"
"OT 16 / DPF"
"OT 21 / SR"
"OT 22 / HM"
"OT 23 / DP"
"OT 24 / JH"
"OT 2 / HM"
"OT 3 / MF"
"OT 4 / JH"
"OT 6 / DPF"
