"Description 1","Conversion Factor","Description 2","Description 3","Description 4","Output Product Code","Standard Speed    Unit","Speed % Less than Standard","Speed % Greater Than Standard","Target Production",Unit,"% Less Than Target Production","% Greater than Target Production","Standard Uptime",Unit,"% less than Standard Uptime","% Greater Than Standard Uptime","Product Belong to Machine"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",16ZP1215PLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG3,0.003746413,0.8mm,15,"Plastic Spool",1730815PR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Plastic Spool",17A1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.003746413,0.8mm,15,"Plastic Spool",17R0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.003746413,0.8mm,15,"Plastic Spool",17SW0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.003746413,0.8mm,15,"Plastic Spool",17U0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.003746413,0.8mm,15,"Plastic Spool",17ZWR0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"LNM MoNiVa",0.00591,"1.0 mm",15,"Stein Basket",16MNV1015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"LNM MoNiVa",0.008574138,"1.2 mm",15,"Stein Basket",16MNV1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Stein Basket",16SCF1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",15,"Stein Basket",163CF1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Stein Basket",16SCF1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Plastic Spool",16SCF1015PRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.015372363,1.6mm,15,"Stein Basket",1631615BLE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.015372363,1.6mm,15,"Plastic Spool",16SCF1615PRE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.00591,"1.0 mm",15,"Stein Basket",163CF1015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.015372363,1.6mm,15,"Stein Basket",163CF1615BLE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.00591,"1.0 mm",15,"Stein Basket",163CF1015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",15,"Stein Basket",163CF1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Stein Basket","16SCF1015BR ",30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",15,"Stein Basket",163CF1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Plastic Spool","16SCF1615PR ",30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.00591,"1.0 mm",15,"Stein Basket",163CF1015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.00591,"1.0 mm",15,"Drive Hole Basket",16A1015DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",15,"Drive Hole Basket",16A1215DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.003746413,0.8mm,15,"Plastic Spool",16A0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,15,"Plastic Spool",16S0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Drive Hole Basket",16SCF1015DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Drive Hole Basket",16SCF1215DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Stein Basket",1631015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.00591,"1.0 mm",15,"Drive Hole Basket",163CF1015DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",15,"Drive Hole Basket",163CF1215DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",15,"Stein Basket",16A1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",18,"Drive Hole Basket",16N1018DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00476861,0.9mm,15,"Stein Basket",16S0915BRU,30,m/sec,80,90,3296,Kg,80,90,80,%,80,90,"0-For Complete Shop"
LNM28,0.00591,"1.0 mm",15,"Stein Basket",16CTN1015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
LNM28,0.008574138,"1.2 mm",15,"Stein Basket",16CTN1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.008574138,"1.2 mm",15,"Stein Baskets",16ZP1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",18,"Drive Hole Basket",16SCF1218DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",18,"Drive Hole Basket",1631018DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.008574138,"1.2 mm",15,"Plastic Spool",16SCF1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig CF",0.00591,"1.0 mm",15,"Stein Basket",16SCF1015BLE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"LNM MoNiVa",0.00591,"1.0 mm",15,"Stein Basket",16MNV1015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"LNM MoNiVa",0.008574138,"1.2 mm",15,"Stein Basket",16MNV1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",15,"Drive Hole Basket",163NP1215DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.011726938,1.4mm,5,"Plastic Spool",16S1405PR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",18,"Drive Hole Basket",163CF1218DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PREX,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",18,"Stein Basket",1631218BRWC,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",5,"Plastic Spool",1631005PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"Stein Basket",16SHD1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"SR Basket",16SHD1215SR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.011726938,1.4mm,15,"Stein Basket",16SHD1415BR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.011726938,1.4mm,15,"SR Basket",16SHD1415SR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.015372363,1.6mm,15,"Stein Basket",16SHD1615BR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.015372363,1.6mm,15,"SR Basket",16SHD1615SR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",15,"Stein Basket",163HD1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",15,"SR Basket",163HD1215SR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.011726938,1.4mm,15,"Stein Basket",163HD1415BR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.011726938,1.4mm,15,"SR Basket",163HD1415SR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.015372363,1.6mm,15,"Stein Basket",163HD1615BR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.015372363,1.6mm,15,"SR Basket",163HD1615SR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",15,"Plastic Spool",16SHD1015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"Plastic Spool",16SHD1215PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"Stein Basket",16SHD1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Stein Basket",1631015BREX,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",15,"Stein Basket",16SHD1015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",15,"Stein Basket",16SHD1015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",15,"Plastic Spool",16SHD1015PRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"Plastic Spool",16SHD1215PRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.00591,"1.0 mm",15,"Stein Basket",163HD1015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",18,"Drive Hole Basket",1631018DRWC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.015372363,1.6mm,15,"Stein Basket",16SHD1615BRE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,15,"Stein Basket",16S1615BRE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",15,"Stein Basket",1631215BREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"CBL A18 PLUS",0.00591,"1.0 mm",15,"Plastic Spool",16C1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"CBL A18 PLUS",0.008574138,"1.2 mm",15,"Plastic Spool",16C1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",15,"Stein Basket",163HD1215BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SG2,0.003746413,0.8mm,15,"Plastic Spool",17C0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",15,"Stein Basket",16N1215BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
Supramig,0.008574138,"1.2 mm",15,"Plastic Spool",16S1215PREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",15,"Stein Basket",16SHD1215BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Magnatec SG2",0.008574138,"1.2 mm",15,"Stein Basket",16SM1215BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",15,"Stein Basket",163HD1215BREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",18,"Drive Hole Basket",16A1218DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",300,Reel,16SHD12300MR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",300,Reel,163HD12300MR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Autal SG2",0.00591,"1.0 mm",15,"Drive Hole Basket",16AUT1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Autal SG2",0.008574138,"1.2 mm",15,"Drive Hole Basket",16AUT1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
Supramig,0.008574138,"1.2 mm",300,Reel,16S12300MR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.003746413,0.8mm,15,"Plastic Spool",17N0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.011726938,1.4mm,15,"Stein Basket",16SHD1415BRE,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
Supramig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PREX,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PLWC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"BOC SG2",0.00591,"1.0 mm",15,"Plastic Spool",16BOC1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"BOC SG2",0.008574138,"1.2 mm",15,"Plastic Spool",16BOC1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"BOC SG2",0.003746413,0.8mm,15,"Plastic Spool",17BOC0815PL,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",15,"Stein Basket",163HD1215BRU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PLVF,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",18,"Drive Hole Basket",16S1218DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",15,"Stein Basket",163HD1215BREU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PREVF,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.0105669,1.32mm,15,"Stein Basket",16SHD13215BR,30,m/sec,80,90,7304,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.0105669,1.32mm,15,"Stein Basket",163HD13215BR,30,m/sec,80,90,7304,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Drive Hole Basket",1631216DRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",18,"Stein Basket",16S1018BRVW,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",16,"Stein Basket",1631016BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",16,"Stein Basket",1631016BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",16,"Stein Basket",1631016BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",16,"Stein Basket",1631016BREX,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",16,"Drive Hole Basket",1631016DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BRU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Drive Hole Basket",1631216DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631616BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",16,"Stein Basket",163HD1216BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",16,"Stein Basket",163HD1216BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",16,"Stein Basket",163HD1216BREU,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.011726938,1.4mm,16,"Stein Basket",163HD1416BR,30,m/sec,80,90,8106,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG3",0.008574138,"1.2 mm",16,"Drive Hole Basket",163NP1216DR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.00591,"1.0 mm",16,"Stein Basket",16A1016BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",16,"Stein Basket",16A1216BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",16,"Drive Hole Basket",16A1216DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.00591,"1.0 mm",16,"Drive Hole Basket",16N1016DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",16,"Stein Basket",16N1216BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",16,"Drive Hole Basket",16N1216DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,16,"Stein Basket",16S0816BRE,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00476861,0.9mm,16,"Stein Basket",16S0916BR,30,m/sec,80,90,3296,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",16,"Stein Basket",16S1016BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",16,"Stein Basket",16S1016BRDC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",16,"Stein Basket",16S1016BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",16,"Stein Basket",16S1016BRVW,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",16,"Stein Basket",16S1216BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",16,"Stein Basket",16S1216BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",16,"Stein Basket",16S1216BREX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.008574138,"1.2 mm",16,"Stein Basket",16S1216BRVW,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.015372363,1.6mm,16,"Stein Basket",16S1616BRE,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",16,"Stein Basket",16SHD1016BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.00591,"1.0 mm",16,"Stein Basket",16SHD1016BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",16,"Stein Basket",16SHD1216BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",16,"Stein Basket",16SHD1216BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.008574138,"1.2 mm",16,"Stein Basket",16SHD1216BRE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Magnatec SG2",0.008574138,"1.2 mm",16,"Stein Basket",16SM1216BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",16,"Stein Basket",16S1016BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",5,"Plastic Spool",1631005PRF,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig HD",0.0105669,1.32mm,16,"Stein Basket",16SHD13216BR,30,m/sec,80,90,7304,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.0105669,1.32mm,16,"Stein Basket",163HD13216BR,30,m/sec,80,90,7304,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra HD",0.008574138,"1.2 mm",16,"Stein Basket",163HD1216BLE,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Nexus SG2",0.008574138,"1.2 mm",18,"Drive Hole Basket",16N1218DL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.00591,"1.0 mm",15,"Plastic Spool",1631015PLVFWC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",16,"Stein Basket",1631216BLEX,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.00591,"1.0 mm",16,"Stein Basket",16A1016DL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PLVFWC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.00591,"1.0 mm",18,"Drive Hole Basket",E10L018P6E02,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.008574138,"1.2 mm",18,"Drive Hole Basket",E12L018P6E02,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"CARBOFIL 1A ",0.008574138,"1.2 mm",16,"Stein Basket",C12L016S3E11,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.00591,"1.0 mm",15,"Plastic Spool",C10P015P6E02,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.008574138,"1.2 mm",15,"Plastic Spool",C12P015P6E02,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.00591,"1.0 mm",15,"Drive Hole Basket",C10V015P6E02,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"ARCWELD AS2",0.008574138,"1.2 mm",15,"Drive Hole Basket",C12V015P6E02,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PRDC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
