"Description 1","Conversion Factor","Description 2","Description 3","Description 4","Output Product Code","Standard Speed    Unit","Speed % Less than Standard","Speed % Greater Than Standard","Target Production",Unit,"% Less Than Target Production","% Greater than Target Production","Standard Uptime",Unit,"% less than Standard Uptime","% Greater Than Standard Uptime","Product Belong to Machine"
"SupraMig Ultra",0.015372363,1.6mm,15,"Plastic Spool",1631615PR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.015372363,1.6mm,15,"Plastic Spool",163CF1215PR,30,m/sec,80,90,10625,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra CF",0.008574138,"1.2 mm",18,"Stein Basket",163CF1218BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"SupraMig Ultra",0.008574138,"1.2 mm",15,"Plastic Spool",163PIPE1215PR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.00591,"1.0 mm",15,"Stein Basket",16A1015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.00591,"1.0 mm",15,"Plastic Spool",16A1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",15,"Plastic Spool",16A1215PL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",18,"Plastic Spool",16A1218BL,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
"Arcweld A18 PLUS",0.008574138,"1.2 mm",18,"Stein Basket",16A1218BR,30,m/sec,80,90,5926,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,5,"Plastic Spool",16S0805PR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,5,"Plastic Spool",16S0805PRA,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,15,"Stein Basket",16S0815BR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,15,"Stein Basket",16S0815BRE,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,15,"Plastic Spool",16S0815PR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,15,"Plastic Spool",16S0815PRE,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,18,"Stein Basket",16S0818BR,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.003746413,0.8mm,18,"Stein Basket",16S0818BRE,30,m/sec,80,90,2590,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00476861,0.9mm,15,"Stein Basket",16S0915BR,30,m/sec,80,90,3296,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00476861,0.9mm,15,"Plastic Spool",16S0915PR,30,m/sec,80,90,3296,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",5,"Plastic Spool",16S1005PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",5,"Plastic Spool",16S1005PRA,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BRDC,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BRE,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BRR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Stein Basket",16S1015BRVW,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Drive Hole Basket",16S1015DR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PL,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
SupraMig,0.00591,"1.0 mm",15,"Plastic Spool",16S1015PR,30,m/sec,80,90,4088,Kg,80,90,80,%,80,90,"0-For Complete Shop"
