wet draw 11	reason not enetered	6
wet draw 11	StartUp	1
wet draw 11	Bobbin Change	2
wet draw 11	Final Die Change	19
wet draw 11	Bobbin Change	4
wet draw 11	Bobbin Change	9
wet draw 11	Final Die Change	8
wet draw 12	no plan	3
wet draw 12	Bobbin Change	11
wet draw 12	Bobbin Change	11
wet draw 12	Bobbin Change	11
wet draw 12	Steel Wool Change	1
wet draw 2	StartUp	17
wet draw 2	Final Die Change	13
wet draw 2	Bobbin Change	6
wet draw 2	Skin Pass Change	10
wet draw 5	StartUp	10
wet draw 5	Bobbin Change	5
wet draw 5	Final Die Change	7
wet draw 5	Final Die Change	1
wet draw 5	Bobbin Change	6
wet draw 5	Wire Cut	4
