17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.54,89443/202/15,Week 16,4,17/04/2023 06:18:30,17/04/2023 06:24:26,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.60,89292/222/10,Week 16,4,17/04/2023 06:21:30,17/04/2023 06:25:25,3.33,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.64,89443/202/16,Week 16,4,17/04/2023 06:24:41,17/04/2023 06:27:03,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.66,89292/222/11,Week 16,4,17/04/2023 06:26:01,17/04/2023 06:29:25,3.17,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.38,89443/202/17,Week 16,4,17/04/2023 06:27:21,17/04/2023 06:30:04,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.72,89292/222/12,Week 16,4,17/04/2023 06:29:41,17/04/2023 06:32:41,2.33,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.67,89443/202/18,Week 16,4,17/04/2023 06:30:22,17/04/2023 06:32:44,1.83,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.50,89443/202/19,Week 16,4,17/04/2023 06:33:02,17/04/2023 06:36:00,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.72,89292/222/13,Week 16,4,17/04/2023 06:32:52,17/04/2023 06:36:04,2.67,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.53,89443/202/20,Week 16,4,17/04/2023 06:36:22,17/04/2023 06:38:48,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,15.75,89292/222/14,Week 16,4,17/04/2023 06:36:52,17/04/2023 06:40:18,2.50,540.00,BOBBIN 1.2G3
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.60,89443/202/21,Week 16,4,17/04/2023 06:39:03,17/04/2023 06:42:16,2.00,1000.00,BOBBIN 1.0
17/04/2023,Mornings,W3,21 / SR,89443/202,Supplier 1,16S1215PRE,22.39,89443/202/22,Week 16,4,17/04/2023 06:42:33,17/04/2023 06:47:55,2.00,1000.00,BOBBIN 1.0
