17/04/2023,Mornings,W3,21 / SR,4.17,17/04/2023 06:08:58,17/04/2023 06:13:19,reason not entered,null,null,null,16S1215PRE,2.33,89443/202,89443/202/12,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.17,1.83
17/04/2023,Mornings,W5,None,0.83,17/04/2023 06:13:09,17/04/2023 06:14:39,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,3.17,89292/222,89292/222/7,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.00,15.72,2.17
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:15:19,17/04/2023 06:16:00,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/13,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.52,1.67
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:18:00,17/04/2023 06:18:40,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/14,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.52,1.67
17/04/2023,Mornings,W5,None,0.67,17/04/2023 06:17:20,17/04/2023 06:18:50,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,3.50,89292/222,89292/222/8,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.33,16.52,2.17
17/04/2023,Mornings,W5,None,0.67,17/04/2023 06:21:10,17/04/2023 06:22:40,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,3.17,89292/222,89292/222/9,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.17,14.54,2.00
17/04/2023,Mornings,W3,21 / SR,4.00,17/04/2023 06:20:40,17/04/2023 06:24:51,reason not entered,null,null,null,16S1215PRE,2.17,89443/202,89443/202/15,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,22.30,1.67
17/04/2023,Mornings,W5,None,0.67,17/04/2023 06:25:21,17/04/2023 06:26:51,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,3.50,89292/222,89292/222/10,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.33,16.59,2.17
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:26:51,17/04/2023 06:27:21,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.00,89443/202,89443/202/16,Supplier 1,Week 16,4,BOBBIN 1.0,0.17,22.31,1.83
17/04/2023,Mornings,W3,21 / SR,0.83,17/04/2023 06:29:31,17/04/2023 06:30:32,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.33,89443/202,89443/202/17,Supplier 1,Week 16,4,BOBBIN 1.0,0.50,23.05,1.83
17/04/2023,Mornings,W5,None,0.50,17/04/2023 06:29:21,17/04/2023 06:30:42,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,3.33,89292/222,89292/222/11,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.33,14.70,2.00
17/04/2023,Mornings,W3,21 / SR,0.50,17/04/2023 06:32:32,17/04/2023 06:33:02,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,1.83,89443/202,89443/202/18,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,21.89,1.50
17/04/2023,Mornings,W5,None,0.50,17/04/2023 06:32:32,17/04/2023 06:34:02,Spool Change,Kg Completed,Not Applicable,Not Applicable,1631216BRE,2.67,89292/222,89292/222/12,Supplier 1,Week 16,4,BOBBIN 1.2G3,1.33,16.59,1.33
17/04/2023,Mornings,W3,21 / SR,1.00,17/04/2023 06:35:12,17/04/2023 06:36:22,Spool Change,Kg Completed,Not Applicable,Not Applicable,16S1215PRE,2.17,89443/202,89443/202/19,Supplier 1,Week 16,4,BOBBIN 1.0,0.33,22.74,1.83
