"Description 1",Diameter,"Description 2","Description 3","Description 4","Input Product Name","Product Belongs to Machine"
mm,2.2,--,--,ER70S6,ER70S-6-2.2mm,"0-For Complete Shop"
mm,2.2,--,--,EM12K,EM12K-2.2mm,"0-For Complete Shop"
mm,2.6,--,--,ER70S6,ER70S-6-2.6mm,"0-For Complete Shop"
mm,2.6,--,--,EM12K,EM12K-2.6mm,"0-For Complete Shop"
mm,2.6,--,--,EA2,EA2-2.6mm,"0-For Complete Shop"
mm,1.8,--,--,ER90S-G,ER90SG-1.8mm,"0-For Complete Shop"
mm,2.2,--,--,ER90S-G,ER90S-G-2.2mm,"0-For Complete Shop"
