Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,108 / DM,32.00,17/04/2023 05:20:01,17/04/2023 05:56:01,No Operator,Workin Elsewhere,N/A,N/A
17/04/2023,Mornings,108 / DM,6,17/04/2023 08:11:01,17/04/2023 08:17:01,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,108 / DM,3,17/04/2023 08:17:01,17/04/2023 08:20:01,General Producti,Change Finisher,Scraped,N/A
17/04/2023,Mornings,108 / DM,6,17/04/2023 10:32:02,17/04/2023 10:38:02,General Producti,Change,Bobbin,N/A
