"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"KPI";"UseCustomUnit";"Type";"Unit";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
48;"sms3";"";"MEM";"RET";"sms3";1.000000;0.000000;0;0;0;1;1;1;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;502;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"16/04/2023 23:38:28";0;65472;0
49;"submit2";"";"MEM";"RET";"submit2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 07:01:07";459.0186;65472;0
50;"oee1";"";"MEM";"RET";"oee1";1.000000;0.000000;0;0;0;1;1;1;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;408;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";75.19582;65472;0
51;"run1";"";"MEM";"RET";"run1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:39:01";288;65472;0
52;"sloee1";"";"MEM";"RET";"sloee1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";8.616188;65472;0
53;"slow1";"";"MEM";"RET";"slow1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:39:01";33;65472;0
54;"doee1";"";"MEM";"RET";"doee1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";24.80418;65472;0
55;"down1";"";"MEM";"RET";"down1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";95;65472;0
56;"oee2";"";"MEM";"RET";"oee2";1.000000;0.000000;0;0;0;1;1;1;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;410;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";74.15144;65472;0
57;"run2";"";"MEM";"RET";"run2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";284;65472;0
58;"sloee2";"";"MEM";"RET";"sloee2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";7.049608;65472;0
59;"slow2";"";"MEM";"RET";"slow2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:32:01";27;65472;0
60;"doee2";"";"MEM";"RET";"doee2";1.000000;0.000000;0;0;0;1;1;1;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;606;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:42:01";25.84856;65472;0
61;"down2";"";"MEM";"RET";"down2";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"17/04/2023 11:31:01";99;65472;0
62;"min_sloee1";"";"MEM";"RET";"min_sloee1";1.000000;0.000000;0;0;0;1;0;0;0;0;0;0;1;0;"";0.000000;0.000000;0;0.000000;0;0;0;0;1;600;10;-1.000000;0;;;1;1.000000;0.000000;;"";"";"";"";;;"";"";;"";;"";"";0;0;1;"";0;"16/04/2023 23:38:28";0;65472;0
