Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,108 / DM,65.00,17/04/2023 05:20:01,17/04/2023 06:24:37,no plan,no plan,no plan,no plan
17/04/2023,Mornings,108 / DM,5,17/04/2023 07:15:01,17/04/2023 07:20:01,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,108 / DM,4,17/04/2023 07:58:01,17/04/2023 08:02:01,General Producti,Change Finisher,Scraped,N/A
17/04/2023,Mornings,108 / DM,21,17/04/2023 10:10:02,17/04/2023 10:31:02,General Producti,Change die(s),Die age,N/A
