Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
18/04/2023,A,Pradeep M,1.00,18/04/2023 06:00:01,18/04/2023 06:00:27,no plan,no plan,no plan,no plan
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Pre-Final Die Clean,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Steel Wool Change,Before and AfterBull Block,Life Completed,Not Applicable
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Cast-Helix  Check,As Per SOP,Every Bobbin,Not Applicable
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Final Die Cloth Change,As per SoP,Every Bobbin,Not Applicable
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Final Die Change,Life Completed,As per SOP,Not Applicable
18/04/2023,A,Pradeep M,0,18/04/2023 06:01:01,18/04/2023 06:01:01,Skin Pass Change,Fresh Solution (6.75MT),Life Completed,Not Applicable
18/04/2023,A,Pradeep M,17,18/04/2023 06:01:01,18/04/2023 06:18:01,StartUp/StopDown,M/C Startup,Not Applicable,Not Applicable
