Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,23 / DP,17.00,17/04/2023 05:20:01,17/04/2023 05:37:01,reason not entered,null,null,null
17/04/2023,Mornings,23 / DP,6.00,17/04/2023 06:12:01,17/04/2023 06:17:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,1.00,17/04/2023 06:50:01,17/04/2023 06:52:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,1.00,17/04/2023 07:24:01,17/04/2023 07:26:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,6.00,17/04/2023 07:58:01,17/04/2023 08:04:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,33.00,17/04/2023 08:36:01,17/04/2023 09:12:01,reason not entered,null,null,null
17/04/2023,Mornings,23 / DP,5.00,17/04/2023 09:45:01,17/04/2023 09:50:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,3.00,17/04/2023 10:22:01,17/04/2023 10:25:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
17/04/2023,Mornings,23 / DP,2.00,17/04/2023 10:58:01,17/04/2023 11:01:01,Drum Change ,Kg Completed,Not Applicable,Not Applicable
