Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,106 / DS,80.00,17/04/2023 05:20:01,17/04/2023 06:59:59,No Operator,Workin elsewhere,N/A,N/A
17/04/2023,Mornings,106 / DS,5,17/04/2023 07:03:01,17/04/2023 07:08:01,General Producti,Change ,Former,N/A
17/04/2023,Mornings,106 / DS,4,17/04/2023 08:38:01,17/04/2023 08:42:01,General Producti,Change ,Former,N/A
17/04/2023,Mornings,106 / DS,3,17/04/2023 10:11:01,17/04/2023 10:14:01,General Producti,Change ,Former,N/A
