Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,108 / DM,12.00,17/04/2023 05:20:01,17/04/2023 05:31:35,no plan,no plan,no plan,no plan
17/04/2023,Mornings,108 / DM,6,17/04/2023 08:44:01,17/04/2023 08:50:01,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,108 / DM,3,17/04/2023 08:50:01,17/04/2023 08:53:01,General Producti,Change Finisher,Scraped,N/A
17/04/2023,Mornings,108 / DM,10,17/04/2023 08:53:01,17/04/2023 09:03:01,Maintenance,Op. maintenance,N/A,N/A
