
17/04/2023 09:10:15,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/40,15.72,17/04/2023 09:13:10,2.50
17/04/2023 09:13:46,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/41,15.61,17/04/2023 09:17:14,2.83
17/04/2023 09:17:36,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/42,15.78,17/04/2023 09:21:49,3.17
17/04/2023 09:21:57,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/43,15.76,17/04/2023 09:25:36,2.83
17/04/2023 09:25:47,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/44,15.80,17/04/2023 09:29:26,3.17
17/04/2023 09:29:58,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/45,15.69,17/04/2023 09:33:10,2.83
17/04/2023 09:33:18,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/46,15.74,17/04/2023 09:36:57,3.00
17/04/2023 09:37:09,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/47,15.69,17/04/2023 09:42:37,3.83
17/04/2023 09:43:10,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/48,0.22,17/04/2023 09:46:31,0.50
17/04/2023 09:46:40,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/49,15.66,17/04/2023 10:01:55,3.33
17/04/2023 10:02:02,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/50,0.23,17/04/2023 10:06:09,0.83
17/04/2023 10:07:23,Mornings,W5,None,89292/222,Supplier 1,1631216BRE,89292/222/51,15.74,17/04/2023 10:10:37,3.00
