Date,Shift,Operator,DownTime,From Time,To Time,Major,Minor,Sub Minor,Sub Sub Minor
17/04/2023,Mornings,102 / IP,13,17/04/2023 05:20:01,17/04/2023 05:33:01,Maintenance,Op. maintenance,N/A,N/A
17/04/2023,Mornings,102 / IP,20,17/04/2023 08:07:01,17/04/2023 08:27:01,General Producti,Change,Bobbin,N/A
17/04/2023,Mornings,102 / IP,5,17/04/2023 09:22:02,17/04/2023 09:27:02,Maintenance,Op. maintenance,N/A,N/A
17/04/2023,Mornings,102 / IP,6,17/04/2023 09:34:02,17/04/2023 09:40:02,Maintenance,Op. maintenance,N/A,N/A
17/04/2023,Mornings,102 / IP,8,17/04/2023 09:55:02,17/04/2023 10:03:02,Maintenance,Op. maintenance,N/A,N/A
