22/07/2020,A,,467.00,22/07/2020 09:00:01,22/07/2020 16:59:02,no plan,no plan,no plan,no plan
10/08/2020,B,Kumarasami P,480.00,10/08/2020 21:00:02,11/08/2020 04:59:02,no plan,no plan,no plan,no plan
